id_norma,tipo_norma,organismo_origen,fecha_sancion,texto_original
384691,Resolución,SECRETARIA DE TRABAJO,2023-06-01,http://servicios.infoleg.gob.ar/infolegInternet/anexos/380000-384999/384691/norma.htm
385906,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385906/norma.htm
385908,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385908/norma.htm
385905,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385905/norma.htm
385901,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385901/norma.htm
385903,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385903/norma.htm
385904,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385904/norma.htm
385899,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385899/norma.htm
385898,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385898/norma.htm
385909,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385909/norma.htm
385902,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385902/norma.htm
385907,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385907/norma.htm
385919,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385919/norma.htm
385910,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385910/norma.htm
385913,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385913/norma.htm
385914,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385914/norma.htm
385921,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385921/norma.htm
385915,Resolución,SECRETARIA DE TRABAJO,2023-05-18,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385915/norma.htm
